"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.33248730964467,0.595242926716141,0.11776578836269,-0.318569221272571,-1.07440695848228,30,"7923;9420;1588;79644;3293;1586;51144"
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.201570680628272,0.431160376528548,0.158514105424824,-0.306701441539924,-1.16092148583034,49,"3119;7124;3117;1511;717;6628;3127;88;3112;3123"
"KEGG_TASTE_TRANSDUCTION",0.0566343042071197,0.180588630396287,0.241339976815091,0.418106295049178,1.39786518915911,44,"2784;50836;6340;5613;50835;54429;5726;50832;773;50839;83756;3710;2914;50831;50837;50838;114"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.580060422960725,0.823783289750946,0.0937465422491719,-0.231767823723098,-0.948323683520844,81,"3626;7058;7124;7057;728622;5515;9978;4609;6500;10468;650;5518;387;130399"
"KEGG_THYROID_CANCER",0.763546798029557,0.957877564679062,0.0489954089862481,0.265045009862987,0.818572828520375,29,"51176;83439;6258;6256;7849;6932;5468;6934"
"KEGG_TIGHT_JUNCTION",0.0483602432604689,0.163457622220385,0.321775918075361,-0.286351943966909,-1.25748187203885,121,"5010;4624;4622;5588;2770;4619;83700;60;92359;71;5582;1495;22989;998;5865;88;9414;5515;29119;3996;5520;103910;4893;4636;5518;93643;5581;5521;1457;23136;387;5580;8735;2771;50848"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.85131195335277,0.985698306168105,0.0385579101998489,0.208359529503486,0.787196412136167,89,"54106;3445;6351;6352;7100;51311;6348"
"KEGG_TRYPTOPHAN_METABOLISM",0.36734693877551,0.620816326530612,0.11146266692298,-0.304916571251477,-1.04852462883511,33,"7166;39;125061;219;1892;223;3030;4967;10352;121278;2639;316;847;38;501;1962"
"KEGG_TYPE_II_DIABETES_MELLITUS",0.84789644012945,0.985698306168105,0.0435378240914002,0.22885997641804,0.765153258907342,44,"3667;3101;23533;773;8651;389692;2645;5313;6517;3551;776;775;5296;774;6833"
"KEGG_TYPE_I_DIABETES_MELLITUS",0.00419447180170978,0.0253166333746054,0.407017918923954,-0.499276807774895,-1.7537387162054,36,"3552;3119;3553;2572;7124;3117;2571;3127;3112;3123;3107"
"KEGG_TYROSINE_METABOLISM",0.0948162576452872,0.276274957621613,0.287805130535564,-0.412238622822041,-1.4175757887212,33,"6898;7054;7306;2954;218;2805;2806"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.677891654465593,0.909235631783216,0.0491927521045191,0.234350124894188,0.897094375346664,100,"3932;926;916;10451;4776;9402;27040;23533;4773;919;925;4772;3551;10725;10892;5535;5335;4792;3937;1326;6654;208;7535;5296;959;8440;84433;3567;867;4775;868;6300;7006;5293;5600;5603;5788;7410"
"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.00238430316641438,0.0167894681301679,0.431707695803346,-0.338436569137432,-1.50390963241947,132,"991;378884;9021;26272;728622;9978;1642;27339;25847;83737;6500;27338;7334;51433;22888;6921;55294;9039;55958;9354;65264;7326;10055;8065;7324;55236;8453;6502;4591;57448;57154;7328;55120;6923;7322;29882;23291;7317;8450;331;9817;8924;92912;8925;84447;54926;11060;9320;63893;7319;7325;29945;996;10477;11059"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.000541329864487697,0.00653462479274434,0.477270815362862,-0.520942473145204,-1.92332342847049,42,"5096;39;3157;35;3155;84693;36;586;30;3028;219;593;1738;1892;5019;3712;223;3030;3032;549;64087;10449;316;38;501;1962"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.190406976744186,0.423404987760098,0.11776578836269,0.301695351728118,1.1691703441649,106,"84647;135;5322;163688;185;553;391013;8399;27094;5613;50487;5331;123745;3710;148;3709;10242;4629;5583;776;115;108;5332;136;10267;5592;4882;800;114;2768;59;775;10672;6093;779;23365"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.000664473370487244,0.00748639997415629,0.477270815362862,-0.507358031928459,-1.87078950152999,43,"9586;1781;5567;1780;4905;1639;10540;396;8766;5868;6844;51164;10671;1778;148327;51143;5566;64764;90993;51626;5878;9230;8655"
"KEGG_VEGF_SIGNALING_PATHWAY",0.40273556231003,0.632181083442551,0.0760837160951725,0.281775337274011,1.02422810396377,71,"84647;3315;5322;4776;391013;8399;50487;23533;123745;4773;4772;10725;5535;7422;5335"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.000161106960531592,0.0024319937295769,0.518848077743792,-0.512162344942521,-1.96411438885954,51,"1080;60;529;71;6558;5582;9414;526;5567;9114;523;537;23480;51606;533;534;51382;155066;527;535;375;5566;55176;528;5579;9550;9296;10952;9601;11014"
"KEGG_VIRAL_MYOCARDITIS",0.000182384685091601,0.0024319937295769,0.518848077743792,-0.473926073766004,-1.87177015795348,66,"4624;4622;3119;4619;60;71;3117;22989;1604;3127;1525;3112;3123;3107"
"KEGG_WNT_SIGNALING_PATHWAY",0.61938202247191,0.865087287584734,0.0514264916187015,0.224986828248378,0.913069901073082,149,"7478;8324;8325;4776;51176;7476;5613;8321;83439;7475;6907;2535;5331;4773;1387;4041;6932;4772;8326;7472;7473;54361;8322;4089;5332;10725;5535;6425;6934;1488;81839;23002;90665;8323;85409;80326"
