"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","aerobic respiration","40/2031","158/16114",0.253164556962025,2.00861332884593,4.8382333233013,9.53052236795007e-06,0.00473257858118714,0.00468533868609362,"VCP/NDUFV1/FH/CHCHD2/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/PDHB/NDUFA2/NDUFAF1/BLOC1S1/IDH2/NDUFS2/SDHA/UQCRFS1/PPIF/NDUFS7/SUCLG1/NDUFA9/SUCLA2/AK4/GHITM/SDHAF4/MDH1/NDUFV2/ACTN3/CDK1/MDH2/DLD/NDUFAB1/COX6A2/COX6C/COL6A1/NUPR1/MDH1B",40
"GO:0006163","purine nucleotide metabolic process","79/2031","389/16114",0.203084832904884,1.61127966392383,4.63462923824197,9.79154189211132e-06,0.00473257858118714,0.00468533868609362,"VCP/EIF6/NDUFV1/GMPR2/PFKL/GPD1/PRKAG1/NUDT18/NDUFB6/NUDT2/PARP16/TALDO1/BPNT1/GART/NDUFS3/NDUFC2/SDHB/FLCN/NDUFS1/APP/NDUFB5/NDUFA2/PAPSS1/ABCC6/APRT/IDH2/ADCY10/PARP1/GAPDH/NDUFS2/PGAM2/ATP1B1/SDHA/BPGM/RORA/PDE10A/HINT1/FIS1/PRPS1/NDUFS7/NME9/OPA1/PRPSAP2/NDUFA9/ACMSD/AK4/NPPA/PPP2CA/TP53I3/NME1/PDE5A/MFSD8/NUDT13/ATP1A2/MDH1/PGK1/MYH6/NDUFV2/ACTN3/PPARA/PGAM1/ABCC9/CD38/MDH2/LDHA/PRKAA1/NDUFAB1/PDE4B/OLA1/NPPC/COL6A1/RHOQ/TPI1/NT5C/PSEN1/LACC1/NUPR1/MDH1B/DNM1L",79
"GO:0045333","cellular respiration","48/2031","205/16114",0.234146341463415,1.8577223763375,4.6935106251242,1.29024109706781e-05,0.00573716093874151,0.00567989345205716,"VCP/NDUFV1/GPD1/FH/CHCHD2/ETFB/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/PDHB/NDUFA2/SLC25A18/NDUFAF1/BLOC1S1/IDH2/NDUFS2/SDHA/UQCRFS1/PPIF/NFATC4/NDUFS7/SUCLG1/NDUFA9/SUCLA2/AK4/GHITM/PRDM16/MFSD8/SDHAF4/MDH1/NDUFV2/ACTN3/COQ10B/ABCC9/CDK1/MDH2/DLD/NDUFAB1/COX6A2/COX6C/COL6A1/NUPR1/MDH1B",48
"GO:0009117","nucleotide metabolic process","87/2031","443/16114",0.196388261851016,1.5581489175122,4.52375597994395,1.38483195073071e-05,0.00573716093874151,0.00567989345205716,"VCP/EIF6/NDUFV1/GMPR2/PFKL/GPD1/PRKAG1/NUDT18/NDUFB6/NUDT2/PARP16/TALDO1/BPNT1/GART/NDUFS3/NDUFC2/SDHB/FLCN/NDUFS1/APP/NDUFB5/NDUFA2/PAPSS1/ABCC6/APRT/IDH2/ADCY10/PARP1/GAPDH/NDUFS2/PGAM2/ATP1B1/SDHA/BPGM/RORA/PDE10A/HINT1/FIS1/CNP/PRPS1/NDUFS7/NME9/OPA1/PRPSAP2/NDUFA9/ACMSD/AK4/NPPA/RRM2B/PPP2CA/TP53I3/RRM1/NME1/PDE5A/NEIL1/AK7/MFSD8/NUDT13/ATP1A2/CDA/MDH1/PGK1/MYH6/NDUFV2/ACTN3/PPARA/PGAM1/ABCC9/CD38/MDH2/LDHA/PRKAA1/NDUFAB1/PDE4B/TYMP/OLA1/NPPC/COL6A1/RHOQ/ENTPD5/TPI1/NT5C/PSEN1/LACC1/NUPR1/MDH1B/DNM1L",87
"GO:0009141","nucleoside triphosphate metabolic process","53/2031","236/16114",0.224576271186441,1.78179322200803,4.59457747542014,1.66316083584046e-05,0.00643088856524976,0.00636669639263838,"VCP/EIF6/NDUFV1/PFKL/GPD1/PRKAG1/NDUFB6/NUDT2/NDUFS3/NDUFC2/SDHB/FLCN/NDUFS1/APP/NDUFB5/NDUFA2/ABCC6/ADCY10/PARP1/GAPDH/NDUFS2/PGAM2/ATP1B1/SDHA/BPGM/FIS1/NDUFS7/NME9/OPA1/NDUFA9/AK4/RRM2B/PPP2CA/NME1/MFSD8/ATP1A2/PGK1/MYH6/NDUFV2/ACTN3/PPARA/PGAM1/ABCC9/LDHA/PRKAA1/NDUFAB1/OLA1/COL6A1/RHOQ/TPI1/PSEN1/NUPR1/DNM1L",53
"GO:1902600","proton transmembrane transport","39/2031","158/16114",0.246835443037975,1.95839799562478,4.59735459249052,2.29646838386174e-05,0.0083246978914988,0.00824160199603012,"PHB2/NDUFV1/SLC25A3/NDUFB6/ATP6V1E1/UQCRC1/NDUFS3/NDUFC2/HVCN1/SLC25A5/NDUFS1/COX5B/NDUFB5/CYB5A/NDUFA2/SLC25A18/CHP1/NDUFS2/ATP1B1/SLC5A4/UCP3/ATP6AP2/UQCRFS1/SLC15A4/PPIF/NDUFS7/SLC47A2/ATP6V0D1/NDUFA9/SLC15A2/ATP6V0B/SLC11A2/GHITM/ATP1A2/ATP6AP1/ATP6V0E2/UCP1/NDUFV2/SLC9C2",39
"GO:0022900","electron transport chain","31/2031","115/16114",0.269565217391304,2.13873654014942,4.65394592930656,2.50815392230198e-05,0.00855723102903028,0.00847181402238842,"NDUFV1/GPD1/CHCHD2/ETFB/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/NDUFA2/SLC25A18/NDUFAF1/NDUFS2/SDHA/UQCRFS1/NDUFS7/NDUFA9/GHITM/WDR93/MDH1/NDUFV2/CDK1/MDH2/DLD/NDUFAB1/COX6A2/COX6C/PDIA5",31
"GO:0022904","respiratory electron transport chain","29/2031","106/16114",0.273584905660377,2.17062883791793,4.59197155318155,3.35467582292438e-05,0.0108095109849786,0.0107016120550015,"NDUFV1/GPD1/CHCHD2/ETFB/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/NDUFA2/SLC25A18/NDUFAF1/NDUFS2/SDHA/UQCRFS1/NDUFS7/NDUFA9/GHITM/MDH1/NDUFV2/CDK1/MDH2/DLD/NDUFAB1/COX6A2/COX6C",29
"GO:0042773","ATP synthesis coupled electron transport","24/2031","83/16114",0.289156626506024,2.29417522379029,4.48897716296501,5.95265128953221e-05,0.0172626887396434,0.0170903751496833,"NDUFV1/CHCHD2/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/NDUFA2/NDUFAF1/NDUFS2/SDHA/UQCRFS1/NDUFS7/NDUFA9/GHITM/NDUFV2/CDK1/DLD/NDUFAB1/COX6A2/COX6C",24
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","24/2031","83/16114",0.289156626506024,2.29417522379029,4.48897716296501,5.95265128953221e-05,0.0172626887396434,0.0170903751496833,"NDUFV1/CHCHD2/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/NDUFA2/NDUFAF1/NDUFS2/SDHA/UQCRFS1/NDUFS7/NDUFA9/GHITM/NDUFV2/CDK1/DLD/NDUFAB1/COX6A2/COX6C",24
"GO:0006119","oxidative phosphorylation","29/2031","110/16114",0.263636363636364,2.09169688017546,4.36294477688488,7.01981706072653e-05,0.0193880661677209,0.019194537376573,"VCP/NDUFV1/CHCHD2/NDUFB6/UQCRC1/NDUFS3/NDUFC2/SDHB/NDUFS1/COX5B/NDUFB5/NDUFA2/NDUFAF1/NDUFS2/SDHA/UQCRFS1/PPIF/NDUFS7/NDUFA9/AK4/GHITM/NDUFV2/ACTN3/CDK1/DLD/NDUFAB1/COX6A2/COX6C/NUPR1",29
"GO:0006107","oxaloacetate metabolic process","7/2031","11/16114",0.636363636363636,5.0489235038718,5.10126745091684,0.000103849990923671,0.0273786339707861,0.0271053445209869,"ACLY/NIT2/FAHD2B/GOT2/MDH1/PCK1/MDH1B",7
"GO:0043648","dicarboxylic acid metabolic process","25/2031","94/16114",0.265957446808511,2.11011240663335,4.09916314022416,0.000185914757664032,0.046882851932669,0.0464148742817984,"ACLY/FH/IDH2/SDHA/NIT2/FAHD2B/GRHPR/ACMSD/SUCLA2/OAT/AASDHPPT/DHFR2/GOT2/MDH1/KYAT3/NAGS/MDH2/DLD/PCK1/GCLC/COL6A1/FPGS/TAT/MDH1B/MTRR",25
