"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMAD4",1067.90696063233,0.638941190096075,0.0945877761170156,6.75500806050915,1.42827315580978e-11,3.02136903380001e-07
"TFCP2L1",57.0308371259931,1.51250370422015,0.241282945348728,6.26858936106785,3.64333518931206e-10,3.73434326348342e-06
"DUSP6",282.471671062705,-0.931521858344074,0.150001713459428,-6.21007478421922,5.29593920320046e-10,3.73434326348342e-06
"CABYR",154.376671185677,0.602938922334032,0.0996063663794215,6.05321671947465,1.41981646006779e-09,7.5086993490685e-06
"NAT16",21.3277362438207,-1.94433448053218,0.337351750111666,-5.76352273224786,8.23761519450905e-09,3.48517023649289e-05
"SST",157.71490080826,-2.37017210535715,0.416079082530535,-5.69644619225291,1.22330474938939e-08,3.87879771001134e-05
"VGF",907.223795027473,-2.46348994012072,0.433084401417048,-5.6882444439472,1.28352008934856e-08,3.87879771001134e-05
"RBM48",258.69636790144,0.796369916666775,0.141325931776329,5.63498790814385,1.7507062068107e-08,4.62930488735919e-05
"DPH2",205.591117438695,-0.539182500981287,0.096640964873087,-5.5792334202102,2.41580874895477e-08,5.45850784535537e-05
"ANAPC16",343.449101133985,0.647895427725279,0.116365570387179,5.56775879299659,2.58036676059155e-08,5.45850784535537e-05
"SGO1",10.853469179767,2.36685036966885,0.432595175682281,5.47128239684112,4.46790695041831e-08,8.59219123901354e-05
"CRH",14.340183320439,-2.50003611216288,0.458832941686985,-5.44868488075644,5.07436262699305e-08,8.94525558428425e-05
"MPO",29.4867489361378,-2.05087268980284,0.378223355926188,-5.42238510041424,5.88090155439611e-08,9.5695839601304e-05
"RABEPK",156.189706154991,-0.515234902284508,0.0963077525172603,-5.34987982605209,8.80126561243438e-08,0.000132987123403883
"VTRNA2-1",5.35220816894321,3.22922293432622,0.60841456209971,5.30760296594775,1.11076261527118e-07,0.000156647149089644
"ESYT1",752.960835637987,-0.428486846192211,0.0812001387671008,-5.27692258533205,1.31371350443316e-07,0.000173689346704869
"TRAF3IP2-AS1",312.237332518665,0.593500281455818,0.11408108173969,5.20244261717349,1.96686100023286e-07,0.000231149875549588
"LOC100506136",28.3488612106245,1.89253036602849,0.363240556205157,5.21012957859144,1.88708787469359e-07,0.000231149875549588
"SELE",34.4478354720001,-2.67051244307217,0.514676546397293,-5.18871990916549,2.11744602831619e-07,0.000235749754121056
"TFDP2",817.107022172828,0.514620764529198,0.100722974050829,5.10926895654905,3.23407702214621e-07,0.000327012255734635
"KCNE5",16.3431173133933,-1.29583905003002,0.253660576707238,-5.10855516789908,3.24631623826574e-07,0.000327012255734635
"SNRNP48",155.144844689917,0.760627021073553,0.149876007650341,5.07504191630251,3.87410590529267e-07,0.000372512892366187
"DNAH11",70.3944321796103,1.1642622064289,0.231225680082881,5.03517691465576,4.77407708094348e-07,0.000420795110709493
"FAM86B3P",28.8232268469123,-1.32309739154392,0.262372418949862,-5.04282194309745,4.58716064789097e-07,0.000420795110709493
"TXN2",495.31328174086,-0.34316823458956,0.0684234716986885,-5.01535841532194,5.29346936120176e-07,0.000447912203467448
"ACO2",2502.63718959711,-0.490257041069719,0.0980766375087047,-4.99871379691424,5.77139913095239e-07,0.000469569912369873
"GNRH1",33.7524058464321,1.36484578851926,0.275619570067549,4.95191900990469,7.34851893735227e-07,0.000566369820980444
"DHRS7B",129.062856912473,-0.501629205101263,0.101379466899368,-4.94803553858885,7.49662238226928e-07,0.000566369820980444
"WDR46",298.633884712972,-0.514276194183726,0.104140909615542,-4.93827253941112,7.88176399304416e-07,0.00057493391554778
"KLF15",788.203891233257,1.14516764458688,0.23286179347858,4.91779964192458,8.75224244109631e-07,0.000617149788663171
"EXOC3L1",55.8526888750437,-0.84948573726016,0.17309088974444,-4.90774377851071,9.21301046915073e-07,0.000628683946659401
"CYP2E1",82.1334265130112,-0.771859943184381,0.158135201161826,-4.88101281380423,1.05542383166659e-06,0.000676558658638636
"TRAPPC1",358.408589027971,-0.525977894478256,0.107655288705903,-4.88575991761207,1.03030685027003e-06,0.000676558658638636
"PRKX",297.698715826231,1.0555945055858,0.216830027194103,4.8683040778335,1.12560040407772e-06,0.000700322086701767
"RPH3A",2264.64524582901,-1.52734068298193,0.314789163011855,-4.85194810510172,1.22254616504039e-06,0.000738906902150409
"FAM86HP",26.6732757967842,-1.19455241044605,0.247684184561488,-4.82288529064114,1.41496352344276e-06,0.000831448288191891
"HINT2",121.899225493572,-0.611476481015449,0.128009512863927,-4.77680499937098,1.78102332585598e-06,0.00101826398473399
"KREMEN2",103.060396614003,-0.971744164620271,0.204398300931684,-4.75416948277402,1.99263830912081e-06,0.00110927028397741
"ABCA11P",119.009651422742,-0.741845534719776,0.15727236684471,-4.71694773597623,2.39409158886126e-06,0.00129857983258387
"SFTPA1",14.4388874714795,-1.66030385427238,0.355046478261841,-4.67630002246616,2.92097170360654e-06,0.00143605229984505
"ACP2",343.817194776161,-0.623795582359678,0.133489626862421,-4.6729891829167,2.96847406608061e-06,0.00143605229984505
"USP31",2149.46204839408,0.62047948916367,0.132816240877718,4.67171397912803,2.9869670602809e-06,0.00143605229984505
"TUBB1",51.1776036793929,1.01587366524355,0.216901504801255,4.6835713112013,2.81919310302116e-06,0.00143605229984505
"PRR34-AS1",63.2502309028197,1.34041963908312,0.28656484255224,4.67754392738796,2.90331392265667e-06,0.00143605229984505
"RAD52",353.464629831114,0.689163846440567,0.148149431134624,4.65181567801175,3.29025113380226e-06,0.00154671049965451
"TRAPPC9",1157.63138959,-0.359051923055453,0.0772699784167724,-4.64671959811906,3.37255090467314e-06,0.00155093351820556
"DNAJC9",221.815103866301,0.462573662986458,0.0997285815599326,4.63832590167214,3.51242627288936e-06,0.00157342255284278
"ADCYAP1",88.6863628467084,-1.96881959541596,0.42477674729111,-4.63495143736455,3.57021284562982e-06,0.00157342255284278
"RNASEH2C",381.925308411111,0.548991034638543,0.118855889762013,4.61896365201418,3.85661401236247e-06,0.00163165625635031
"MED29",1116.79811598382,-0.526625741186133,0.1139478893714,-4.62163664541129,3.80724428165975e-06,0.00163165625635031
"GPCPD1",364.708816950757,-0.786762478449901,0.170647176362495,-4.61046291664758,4.01773307936421e-06,0.00166649265805628
"FAM182B",38.0367170596199,-1.24303896228238,0.270343545810868,-4.59799755364607,4.26571002623261e-06,0.00173532365182548
"FAM174A",207.045883295873,-0.62081757300129,0.1353166380607,-4.5878879485818,4.47752840201659e-06,0.00174837634339191
"LINC00997",141.35962335052,0.618332839851988,0.134867899991381,4.58472950117488,4.54574543285218e-06,0.00174837634339191
"LINC01546",8.47744471934991,1.97617242605294,0.430826370011588,4.58693469947019,4.49801292499052e-06,0.00174837634339191
"TARBP1",889.631964923841,-0.840960770412535,0.184525991681023,-4.55741092488609,5.17880418004135e-06,0.00182824185281647
"PCYOX1L",203.992974723766,-0.932362045569115,0.204101069385516,-4.56813895378482,4.92073788494892e-06,0.00182824185281647
"RBM14",934.06934572954,0.840415873759762,0.184271667446209,4.56074384850882,5.09727304784069e-06,0.00182824185281647
"CSF3",24.5843495390643,-2.61170339512431,0.571977285149531,-4.56609635195835,4.96890445583446e-06,0.00182824185281647
"LOC101928238",25.0188980776306,-1.05777271505571,0.232113352231138,-4.55713859150325,5.18552099692674e-06,0.00182824185281647
"TEKT2",30.0997906912559,0.949844093720535,0.20942646137633,4.5354540561792,5.74796902949255e-06,0.00199332027622763
"NEAT1",24852.9076291542,1.39353413413332,0.307764092527716,4.52792956672754,5.95644273418264e-06,0.002017735576628
"FIBP",434.319690467814,-0.644468130786502,0.142495176621132,-4.52273646075771,6.10452287530453e-06,0.002017735576628
