"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CPS1",203.172463646597,-1.92156572614913,0.386308584707814,-4.97417298557451,6.55267765876693e-07,0.00704150741211094
"SCCPDH",601.12026284877,-0.724844180258598,0.166839884592838,-4.34454975815606,1.39561608206143e-05,0.0162136494390191
"GOLIM4",1399.59973256552,0.786206084280951,0.179863613242876,4.3711235980749,1.23608793057836e-05,0.0162136494390191
"ABHD6",462.842680576004,-0.878763458356228,0.203069683522851,-4.32739857132512,1.50880787632786e-05,0.0162136494390191
"ADGRA3",597.747278660731,0.91523294497079,0.210903936530746,4.33957260365011,1.4276009602371e-05,0.0162136494390191
"ENPP6",169.447352156915,-2.0954174501487,0.475567434193071,-4.40614158895077,1.05228194084032e-05,0.0162136494390191
"NOA1",227.120769205124,-0.479557709821953,0.108860664940148,-4.40524325370985,1.05665236433893e-05,0.0162136494390191
"ZNF488",607.391717231599,-1.34735172097647,0.310649721530025,-4.33720562935142,1.4430560855194e-05,0.0162136494390191
"LARP6",1215.64789595932,-1.14848168233576,0.264811112901471,-4.33698446319765,1.44450830984033e-05,0.0162136494390191
"NGFR",165.241835460489,-2.59001956913937,0.594241143994636,-4.35853288738746,1.30937248324409e-05,0.0162136494390191
"LYSMD1",189.490802417977,-0.371082488632348,0.0888388972909443,-4.17702718007705,2.95343745720628e-05,0.0210956853710372
"HAPLN2",1847.93423916652,-2.07648895639332,0.505646428572313,-4.10660263587003,4.01521092912584e-05,0.0210956853710372
"ATOX1",239.865747018508,-0.709760633071381,0.172344636834229,-4.11826353351553,3.8173800562929e-05,0.0210956853710372
"ITPR2",1855.72670794976,0.609290466718567,0.148980819065301,4.08972423793363,4.31886356004855e-05,0.0210956853710372
"DUSP6",282.471671062705,0.66386308594609,0.161192242725348,4.11845554551425,3.81420128710855e-05,0.0210956853710372
"GDE1",860.984416932019,-0.616200335217743,0.15040698778607,-4.09688635008229,4.18744352065292e-05,0.0210956853710372
"AMFR",2159.56570052286,-0.396308670963099,0.0965263387040139,-4.10570499496858,4.03083636184368e-05,0.0210956853710372
"ABCA6",348.703927056734,-1.76111924903292,0.42887035263287,-4.10641406714469,4.0184886094941e-05,0.0210956853710372
"MPP2",1346.82051366736,-0.584445952664352,0.142763080164192,-4.0938171969404,4.2432890180216e-05,0.0210956853710372
"RBM42",503.678015359673,-0.601339561769234,0.142251912761131,-4.22728629863138,2.36526636071154e-05,0.0210956853710372
"AHCY",571.61253325743,-0.542108253792394,0.127802156605077,-4.24177704189742,2.21756933399462e-05,0.0210956853710372
"PLTP",766.703300940785,0.671684083794433,0.160338838030189,4.18915399441755,2.7999635090661e-05,0.0210956853710372
"COBLL1",379.518781961254,0.922884090421638,0.228007037910379,4.04761229688178,5.17427594100172e-05,0.0233475016854441
"FGFRL1",892.420573819135,1.01776443069962,0.253205732840842,4.01951574824474,5.83178837699076e-05,0.0233475016854441
"SDHAF2",206.478985705712,-0.313556886556605,0.0777521361011137,-4.03277520438585,5.51220033424559e-05,0.0233475016854441
"KIF19",909.597977470903,-2.31745342362422,0.577416711422279,-4.01348519670642,5.98287562810982e-05,0.0233475016854441
"POP4",189.253819641902,-0.443814727431405,0.110689428320029,-4.00954936860126,6.08347335931913e-05,0.0233475016854441
"AIFM3",980.00503577591,1.19797380615356,0.298251559393947,4.01665563321065,5.90298851887169e-05,0.0233475016854441
