"gene","log2FoldChange","padj"
"TOMM40",-0.561973077462348,0.000101337170778261
"ADAMTS4",-2.34759690973278,0.000947331264034514
"APP",-0.814176345424348,0.00125062252431365
"ABCA7",0.808813448720382,0.015686894338861
"BIN1",-0.849417172500989,0.0248872994344891
"CASS4",0.950117501490743,0.0336911269314458
"BCAM",0.72182461692424,0.0405892334733163
"PSEN1",-0.840216077909291,0.0440584314228382
